,acoustic,afrobeat,alt-rock,alternative,ambient,anime,black-metal,bluegrass,blues,brazil,breakbeat,british,cantopop,chicago-house,children,chill,classical,club,comedy,country,dance,dancehall,death-metal,deep-house,detroit-techno,disco,disney,drum-and-bass,dub,dubstep,edm,electro,electronic,emo,folk,forro,french,funk,garage,german,gospel,goth,grindcore,groove,grunge,guitar,happy,hard-rock,hardcore,hardstyle,heavy-metal,hip-hop,honky-tonk,house,idm,indian,indie-pop,indie,industrial,iranian,j-dance,j-idol,j-pop,j-rock,jazz,k-pop,kids,latin,latino,malay,mandopop,metal,metalcore,minimal-techno,mpb,new-age,opera,pagode,party,piano,pop-film,pop,power-pop,progressive-house,psych-rock,punk-rock,punk,r-n-b,reggae,reggaeton,rock-n-roll,rock,rockabilly,romance,sad,salsa,samba,sertanejo,show-tunes,singer-songwriter,ska,sleep,songwriter,soul,spanish,study,swedish,synth-pop,tango,techno,trance,trip-hop,turkish,world-music
acoustic,4,0,0,1,1,1,0,5,0,0,0,0,13,0,10,2,2,1,1,8,1,1,0,0,0,1,1,0,0,1,0,1,0,3,0,3,0,0,0,0,5,2,0,0,3,3,1,3,0,0,0,0,9,0,0,0,0,0,0,0,0,2,0,5,12,1,1,1,0,2,17,0,1,0,0,0,4,2,2,0,0,1,4,1,2,1,1,0,0,0,2,1,0,15,2,1,1,1,9,6,4,0,7,2,0,1,0,1,6,0,0,0,0,7
afrobeat,1,30,0,0,0,1,0,3,0,0,2,0,0,13,2,1,0,2,1,0,0,3,0,5,2,10,0,0,1,1,0,1,0,0,0,5,0,2,0,0,0,1,0,0,0,2,1,0,0,0,1,2,0,1,1,1,0,0,1,0,0,0,0,0,4,2,7,0,1,4,0,1,0,0,2,0,0,1,4,1,0,0,2,0,3,0,0,0,3,1,0,1,1,1,0,24,8,0,1,0,5,0,2,1,0,12,0,7,1,1,0,4,1,0
alt-rock,0,1,1,2,0,0,2,0,2,0,1,0,5,0,1,0,0,0,0,6,2,0,3,1,1,8,0,1,0,3,3,1,0,1,0,0,0,0,1,0,4,0,1,0,11,0,1,11,5,1,13,0,0,0,0,1,0,0,2,0,0,7,2,1,0,1,1,1,1,0,7,2,7,0,2,0,1,1,8,0,0,1,11,2,3,1,5,0,2,0,6,2,2,0,0,4,2,0,2,1,11,0,1,1,0,0,0,9,0,0,0,1,4,6
alternative,0,1,0,1,0,0,3,1,1,0,1,0,0,0,2,3,0,1,0,1,2,2,2,1,0,6,0,0,0,2,3,1,0,8,0,0,0,3,1,0,2,0,1,0,8,0,2,4,6,2,10,1,0,2,0,0,1,0,3,0,1,12,0,0,0,2,2,0,0,0,6,6,12,0,0,0,0,1,6,0,0,0,7,0,3,6,2,0,0,2,2,0,2,0,2,2,0,1,5,0,3,0,0,1,0,0,0,2,0,0,1,0,2,5
ambient,1,0,0,0,49,0,1,1,0,0,0,0,3,0,0,0,26,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,1,0,0,0,7,0,0,0,0,6,0,0,0,0,2,2,0,0,0,0,4,0,0,3,0,23,12,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,2,1,0,12,2,0,0,4,0,1,2,1,1,2,0,9
anime,1,1,0,0,7,1,7,0,0,1,1,0,0,0,1,0,1,2,1,2,2,3,1,0,0,1,2,0,3,3,0,0,0,2,0,1,3,0,1,1,6,0,1,0,4,1,1,4,3,3,3,0,0,2,4,0,0,0,0,3,4,19,0,8,0,2,1,2,2,1,1,2,5,0,1,1,2,2,7,0,0,0,3,2,1,0,0,0,1,4,3,0,2,0,0,3,1,1,0,0,6,0,0,0,0,19,0,0,0,0,0,0,1,2
black-metal,0,0,0,0,0,0,87,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,33,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,0,3,0,0,0,1,3,11,0,0,0,1,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,6,14,0,0,0,1,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,1,4
bluegrass,0,1,0,0,2,0,0,45,0,0,0,0,9,0,1,1,3,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,3,0,3,0,0,0,0,7,0,0,0,0,0,0,30,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,6,0,0,0,4,1,1,6,0,0,1,4,5,0,7,0,1,0,0,0,2,10,2,1,0,8,7,0,2,0,4,0,4,1,0,0,0,3,1,0,0,0,0,4
blues,0,2,0,2,0,0,0,7,2,0,0,0,1,0,3,0,0,1,0,3,3,4,0,3,0,4,0,0,0,2,0,0,0,0,3,7,0,1,1,0,3,0,0,0,3,0,0,3,1,0,2,0,6,0,0,0,0,0,0,1,0,3,1,2,26,0,2,2,1,4,1,0,0,0,1,0,2,3,4,2,0,2,4,3,13,0,1,1,2,3,5,4,1,5,2,9,2,0,4,1,5,0,2,2,0,1,0,12,5,0,0,0,0,3
brazil,2,0,0,0,0,0,0,2,2,6,0,0,2,0,2,0,0,0,3,2,1,10,0,3,0,1,0,1,1,0,1,0,0,2,0,2,1,1,0,0,31,0,0,0,1,0,0,0,1,1,3,2,3,0,0,3,0,0,0,0,4,5,0,0,0,4,2,0,2,0,10,1,2,0,5,0,6,6,2,0,0,4,3,0,1,1,0,1,0,1,1,1,1,2,2,1,5,3,2,2,3,0,1,0,0,0,0,3,2,0,1,1,4,12
