Variable,VIF
energy,inf
explicit,inf
acousticness,inf
liveness,inf
explicit,inf
danceability,inf
energy,inf
acousticness,inf
liveness,inf
danceability,inf
const,1518.172394653802
popularity_category_Medium,1.5851098987605017
speechiness,1.5147299134042858
track_genre_comedy,1.3252326094958753
duration_ms,1.3138646456075305
popularity_category_High,1.2470932799584373
track_genre_grindcore,1.1838963169906769
track_genre_sleep,1.1548788996265702
track_genre_black-metal,1.1249644541933912
track_genre_chicago-house,1.1246395898849817
track_genre_pagode,1.1195010691597924
track_genre_classical,1.1186318725029603
track_genre_detroit-techno,1.1144611440207006
track_genre_death-metal,1.1138926505100915
track_genre_kids,1.1106041243355433
track_genre_sad,1.1097467557035612
track_genre_minimal-techno,1.1080675846361012
track_genre_sertanejo,1.1056560400152102
track_genre_romance,1.1052536190549158
track_genre_metalcore,1.104881161345392
track_genre_ambient,1.1040878923811606
track_genre_iranian,1.1035282026557536
track_genre_j-dance,1.1019127351818292
track_genre_forro,1.1008985735495669
track_genre_tango,1.0999328071116201
track_genre_disney,1.0987060080637947
track_genre_samba,1.0975366189453304
track_genre_metal,1.0944829836613856
track_genre_heavy-metal,1.0941896398439683
track_genre_children,1.093995402886329
track_genre_dancehall,1.093974136047684
track_genre_honky-tonk,1.0923851836653837
track_genre_study,1.09217384888684
track_genre_salsa,1.09187167926241
track_genre_emo,1.090858736895926
track_genre_breakbeat,1.0907561110737496
track_genre_pop,1.0899984919801922
track_genre_gospel,1.089232114625301
track_genre_reggaeton,1.0886935182617563
track_genre_latino,1.0882193254484769
track_genre_techno,1.0880456613515406
track_genre_hip-hop,1.0865671427752142
track_genre_dance,1.0852562493089082
track_genre_drum-and-bass,1.085104582378613
track_genre_deep-house,1.084736767213697
track_genre_piano,1.0841965765322825
track_genre_hardstyle,1.0840796825193002
track_genre_power-pop,1.084005894029276
track_genre_guitar,1.0835403076384285
track_genre_world-music,1.083234206280733
track_genre_reggae,1.083040475953371
track_genre_k-pop,1.0828343652588317
track_genre_industrial,1.0827882421756159
track_genre_latin,1.0827523387466613
track_genre_j-idol,1.081871862139621
track_genre_progressive-house,1.0817719505951986
track_genre_house,1.081769736915216
track_genre_hard-rock,1.0817603735801615
track_genre_punk-rock,1.0816971407865048
track_genre_mpb,1.0805335001708996
track_genre_trance,1.0803342639681812
track_genre_jazz,1.0801506930306812
track_genre_dubstep,1.0798650731913182
track_genre_pop-film,1.0796898784424198
track_genre_punk,1.079537969352472
track_genre_brazil,1.0784930136137465
track_genre_turkish,1.0779847002220357
track_genre_show-tunes,1.0776914174359657
track_genre_electro,1.0768362463885826
track_genre_edm,1.0767771210655326
track_genre_funk,1.0759734470956346
track_genre_indian,1.0757821677041828
track_genre_ska,1.0754119493147685
track_genre_bluegrass,1.0744129918857401
track_genre_disco,1.0738252173094434
track_genre_electronic,1.073367931974326
track_genre_rock,1.0721202186273737
track_genre_alt-rock,1.0721163872729016
track_genre_anime,1.0718484190730098
track_genre_dub,1.0718327101047993
track_genre_alternative,1.0711803792923609
track_genre_j-rock,1.0710831664437808
track_genre_goth,1.0702817589355693
track_genre_garage,1.068596709099138
track_genre_songwriter,1.068433182381483
track_genre_singer-songwriter,1.068433182381483
track_genre_trip-hop,1.0684286415005622
track_genre_groove,1.0680230076467085
track_genre_idm,1.067108747715841
track_genre_r-n-b,1.0667909221557057
track_genre_j-pop,1.066765958474584
track_genre_indie-pop,1.0664378930463652
track_genre_club,1.066277311884174
track_genre_cantopop,1.0660524187059734
track_genre_soul,1.065814891857336
track_genre_folk,1.0652920141327797
track_genre_malay,1.0651969198573334
track_genre_swedish,1.0649232671502844
track_genre_indie,1.064712519234744
track_genre_country,1.0640653576310672
track_genre_british,1.0639953875851762
track_genre_spanish,1.0618750077390269
track_genre_german,1.061289085585519
track_genre_blues,1.0595397381192593
key_10,1.0069739909933826
